City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,nar'yan-mar,67.6713,53.087,-14.38,96,6,2.24,RU,1698440860
313,priob'ye,62.5206,65.5964,-7.8,87,19,1.67,RU,1698440860
314,vrangel',42.7297,133.0839,4.87,49,12,4.08,RU,1698440860
315,labuan,5.2767,115.2417,27.01,79,62,2.33,MY,1698440861
316,nogliki,51.8333,143.1667,2.41,73,10,3.13,RU,1698440861
317,tura,25.5198,90.2201,18.53,80,0,1.66,IN,1698440861
318,tchibanga,-2.85,11.0333,21.39,98,96,1.07,GA,1698440861
319,champerico,14.3,-91.9167,32.3,77,94,2.85,GT,1698440862
320,susuman,62.7833,148.1667,-17.79,90,100,0.89,RU,1698440862
321,bar,49.0772,27.6826,15.58,75,100,8.8,UA,1698440862
322,el sauzal de rodriguez,31.9,-116.6833,20.79,74,0,5.23,MX,1698440862
323,kuching,1.55,110.3333,27.23,93,40,0.0,MY,1698440863
324,pitimbu,-7.4706,-34.8086,27.33,82,6,5.5,BR,1698440863
325,general acha,-37.377,-64.6043,28.25,15,73,8.94,AR,1698440863
326,gunjur,13.2019,-16.7339,27.28,81,55,6.0,GM,1698440863
327,laojunmiao,39.8333,97.7333,6.08,29,26,0.98,CN,1698440864
328,souillac,-20.5167,57.5167,24.82,77,59,1.27,MU,1698440864
329,paragominas,-2.9667,-47.4833,32.51,35,40,2.11,BR,1698440864
330,castillos,-34.1667,-53.8333,17.58,70,0,4.77,UY,1698440864
331,hammerfest,70.6634,23.6821,-0.75,74,75,2.57,NO,1698440865
332,murygino,58.7383,49.4582,-2.58,74,96,3.28,RU,1698440865
333,murzuq,25.9155,13.9184,26.29,24,100,3.66,LY,1698440865
334,new romney,50.986,0.9412,12.31,85,40,4.12,GB,1698440865
335,kachug,53.9606,105.8817,1.14,85,100,6.71,RU,1698440865
336,harstad,68.799,16.5293,0.45,88,12,2.68,NO,1698440865
337,vilhena,-12.7406,-60.1458,30.12,58,20,4.63,BR,1698440664
338,zilair,52.2332,57.4392,-2.57,94,100,5.88,RU,1698440866
339,ciudad lazaro cardenas,17.9583,-102.2,28.5,76,66,3.99,MX,1698440866
340,kokshetau,53.2775,69.3883,-4.99,79,55,2.46,KZ,1698440866
341,verkhnevilyuysk,63.4453,120.3167,1.04,97,100,2.6,RU,1698440866
342,san julian,21.0167,-102.1667,23.76,41,89,5.21,MX,1698440867
343,richards bay,-28.783,32.0377,21.2,84,99,7.21,ZA,1698440867
344,penzance,50.1186,-5.5371,13.38,86,98,11.7,GB,1698440867
345,danville,36.586,-79.395,28.49,54,20,1.79,US,1698440867
346,basco,20.4487,121.9702,26.99,72,30,6.01,PH,1698440867
347,orcopampa,-15.2661,-72.3417,15.14,44,36,3.91,PE,1698440868
348,tocopilla,-22.092,-70.1979,17.96,69,20,2.81,CL,1698440515
349,nantucket,41.2835,-70.0995,18.08,98,0,6.17,US,1698440868
350,marquette,46.5333,-87.6335,12.69,78,99,5.2,US,1698440868
351,wanning,18.8003,110.3967,24.78,91,19,1.49,CN,1698440868
352,tirmiz,37.2242,67.2783,16.05,55,0,4.12,UZ,1698440868
353,lagos,6.5833,3.75,28.18,93,9,1.86,NG,1698440717
354,keelung,25.1283,121.7419,22.19,87,100,5.24,TW,1698440682
355,chonchi,-42.6128,-73.8092,11.73,66,12,4.0,CL,1698440869
356,moissala,8.3404,17.7663,21.52,86,82,1.35,TD,1698440869
357,caluula,11.9661,50.7569,27.17,81,55,5.45,SO,1698440869
358,kostomuksha,64.571,30.5767,-2.2,77,71,2.68,RU,1698440870
359,howard springs,-12.497,131.047,26.95,90,8,0.9,AU,1698440870
360,hepo,23.4308,115.8299,22.27,97,100,0.99,CN,1698440870
361,port hueneme,34.1478,-119.1951,26.97,62,0,5.66,US,1698440870
362,argostolion,38.1811,20.489,22.04,62,40,2.06,GR,1698440870
363,abepura,-2.6333,140.5833,23.45,88,20,1.03,ID,1698440871
364,almirante,9.3,-82.4,26.01,80,100,2.39,PA,1698440871
